Unique.Specimen.Identifier;Family1;Order1;Sequence;Specimen.number;Source;Sex;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-wing.Index;Tail.Length;Sample.Number;Measurer;Avonet.Protocol.Used;Protocol.both.pairs;Protocol.neither.pair
Abroscopus schisticeps_86.4.1.3320;Scotocercidae;PASSERIFORMES;8021;86.4.1.3320;NHMUK;M;8,8;4,5;2,7;2,5;16,8;48;8,4;39,6;17,5;48;2;CS;1;0;0
Abroscopus schisticeps_86.4.1.3320;Scotocercidae;PASSERIFORMES;8021;86.4.1.3320;NHMUK;M;9,1;NA;2,5;2;17,1;51;NA;NA;NA;45;1;GT;0;0;0
Acanthagenys rufogularis_1965.43.1168;Meliphagidae;PASSERIFORMES;6128;1965.43.1168;NHMUK;M;28,7;NA;4,2;5,8;25,7;115;NA;NA;NA;115;1;GT;0;0;0
Acanthagenys rufogularis_1965.43.1168;Meliphagidae;PASSERIFORMES;6128;1965.43.1168;NHMUK;M;26,5;12,5;3,8;5,2;25,3;115;25,9;89,1;22,5;114;2;NS;1;0;0
Acanthidops bairdi_1899.2.1.846;Thraupidae;PASSERIFORMES;11013;1899.2.1.846;NHMUK;M;14,3;NA;4;5,7;21;65;NA;NA;NA;63;2;GT;0;0;0
Acanthidops bairdi_1899.2.1.846;Thraupidae;PASSERIFORMES;11013;1899.2.1.846;NHMUK;M;15;10,3;3,4;5,4;20,5;67;10,2;56,8;15,2;54;1;HM;1;0;0
Acanthisitta chloris_1908.3.30.1;Acanthisittidae;PASSERIFORMES;4496;1908.3.30.1;NHMUK;F;12,3;6,1;2,7;2,4;18,4;44;7;37;15,9;24;2;CS;1;0;0
Acanthisitta chloris_1908.3.30.1;Acanthisittidae;PASSERIFORMES;4496;1908.3.30.1;NHMUK;F;14,1;NA;1,7;1,9;18,9;48;NA;NA;NA;26;1;GT;0;0;0
Acanthisitta chloris_1908.3.30.3;Acanthisittidae;PASSERIFORMES;4496;1908.3.30.3;NHMUK;M;11,4;6,8;2,8;2,4;19,7;44;6,4;37,6;14,5;22;2;CS;1;0;0
Acanthisitta chloris_1908.3.30.3;Acanthisittidae;PASSERIFORMES;4496;1908.3.30.3;NHMUK;M;12,6;NA;2;1,8;18,6;47;NA;NA;NA;25;1;GT;0;0;0
